1	2255	116.440368
4	1785	40.968020
45	323	75.365755
45	2255	52.462927
45	6676	28.950214
49	4584	9.750867
68	160	-25.044886
68	1315	-16.654954
73	7465	0.039582
82	2495	1.688437
82	7433	-21.669598
86	1690	-23.143133
86	8437	67.583338
128	8163	-47.334021
135	9101	91.755307
191	5073	-32.469217
192	109	54.017734
201	1450	12.615263
201	2273	33.765128
201	4557	31.104323
201	8438	33.862975
205	2184	18.331858
206	599	-6.281861
213	1450	9.396063
213	4499	53.494558
213	4643	-16.324073
213	9649	17.387195
220	4653	-9.777518
246	5980	49.582482
248	1383	7.880359
